name,price,url,stone_type,stone_shape,stone_clarity,stone_color,stone_carat_weight,metal_type,metal_color,gold_karat,ring_size,category,source
Square-ish 2.68 CT Natural Diamond Large Fancy Light Yellow Platinum & 22 karat,"$16,500",https://www.1stdibs.com/jewelry/rings/engagement-rings/square-ish-268-ct-natural-diamond-large-fancy-light-yellow-platinum-22-karat/id-j_25681732/,Diamond,Square,,G,2.68,Platinum,,22k,6,Ring,1stdibs
GIA Certified 10.00 Carat FLAWLESS Clarity D Color Platinum Ring,"$2,397,500",https://www.1stdibs.com/jewelry/rings/three-stone-rings/gia-certified-1000-carat-flawless-clarity-d-color-platinum-ring/id-j_26463102/,Diamond,Emerald,,D,10.00,Platinum,,,6,Ring,1stdibs
Natural 2.85 CT Emerald & Diamond Engagement Ring in 14k Solid White Gold,"$1,584 Sale Price / item",https://www.1stdibs.com/jewelry/rings/engagement-rings/natural-285-ct-emerald-diamond-engagement-ring-14k-solid-white-gold/id-j_26706552/,"Diamond , Emerald",Octagon,,G,2.85,"Gold , 14k Gold , White Gold",White,14k,,Ring,1stdibs
TIFFANY & Co. Metro Platinum Full Circle Diamond Band Ring 9,"$1,800",https://www.1stdibs.com/jewelry/rings/wedding-rings/tiffany-co-metro-platinum-full-circle-diamond-band-ring-9/id-j_27296162/,Diamond,Round,,,,Platinum,,,9,Ring,1stdibs
"Vintage 18ct Gold, Sapphire & Diamond Cluster Ring, Hallmarked London 1977","$1,990",https://www.1stdibs.com/jewelry/rings/cluster-rings/vintage-18ct-gold-sapphire-diamond-cluster-ring-hallmarked-london-1977/id-j_27338672/,"Diamond , Sapphire",Oval,,,18,"Gold , 18k Gold",,18k,8.75,Ring,1stdibs
Leto Lama IGI Certified 4.26 Cts Emerald with diamonds engagement cocktail ring,"$16,119",https://www.1stdibs.com/jewelry/rings/engagement-rings/leto-lama-igi-certified-426-cts-emerald-diamonds-engagement-cocktail-ring/id-j_27358322/,"Diamond , Emerald",Emerald,,G,4.26,18k Gold,,18k,7,Ring,1stdibs
"Antique 18ct Gold Stamped, Victorian Diamond Boat Shaped Ring, Circa 1880","$2,411",https://www.1stdibs.com/jewelry/rings/engagement-rings/antique-18ct-gold-stamped-victorian-diamond-boat-shaped-ring-circa-1880/id-j_27260842/,Diamond,Old European,,,0.85,"Gold , 18k Gold",,18k,6.25,Ring,1stdibs
"Antique 15ct Yellow Gold, Georgian Emerald & Diamond Cluster Ring, Circa 1840","$1,515",https://www.1stdibs.com/jewelry/rings/cluster-rings/antique-15ct-yellow-gold-georgian-emerald-diamond-cluster-ring-circa-1840/id-j_27262432/,"Diamond , Emerald",Rough,,,15,"18k Gold , Yellow Gold",Yellow,18k,6.25,Ring,1stdibs
"Antique 18ct Yellow Gold & Platinum, 1920s Peridot and Diamond Three Stone Ring","$3,030",https://www.1stdibs.com/jewelry/rings/engagement-rings/antique-18ct-yellow-gold-platinum-1920s-peridot-diamond-three-stone-ring/id-j_27385232/,"Diamond , Peridot",Oval,,,18,Platinum,Yellow,18k,7.5,Ring,1stdibs
Art Deco Cabochon Sapphire and Diamond Ring - GIA,"$5,760",https://www.1stdibs.com/jewelry/rings/cocktail-rings/art-deco-cabochon-sapphire-diamond-ring-gia/id-j_27271952/,Sapphire,Cabochon,,G,,Platinum,,,3.25,Ring,1stdibs
18K White Gold 2.24ct Thai Greenish Blue Sapphire & 0.85ct Diamond Fine Ring,"$3,000 Sale Price",https://www.1stdibs.com/jewelry/rings/cocktail-rings/18k-white-gold-224ct-thai-greenish-blue-sapphire-085ct-diamond-fine-ring/id-j_27241122/,"Diamond , Blue Sapphire",Oval,,G,2.24,"18k Gold , White Gold",White,18k,6.5,Ring,1stdibs
Platinum Flower Wedding Band,"$2,600 / item",https://www.1stdibs.com/jewelry/rings/wedding-rings/platinum-flower-wedding-band/id-j_13694252/,,,,,,Platinum,,,,Ring,1stdibs
15.30ct Emerald Cut I/IF GIA Three Stone Diamond Engagement Ring in Platinum,"$920,000 Sale Price",https://www.1stdibs.com/jewelry/rings/engagement-rings/1530ct-emerald-cut-i-if-gia-three-stone-diamond-engagement-ring-platinum/id-j_22232292/,Diamond,Emerald,IF,G,15.30,Platinum,,,6,Ring,1stdibs
"Antique 18ct Yellow Gold, Star Set Old Cut Diamond Band Ring","$2,066",https://www.1stdibs.com/jewelry/rings/band-rings/antique-18ct-yellow-gold-star-set-old-cut-diamond-band-ring/id-j_27220652/,Diamond,Old European,,G,18,"18k Gold , Yellow Gold",Yellow,18k,9,Ring,1stdibs
Natural Emerald Cut Diamond 3 Stone 18 Karat Engagement Ring In Stock,"$24,995",https://www.1stdibs.com/jewelry/rings/engagement-rings/natural-emerald-cut-diamond-3-stone-18-karat-engagement-ring-stock/id-j_17709012/,Diamond,Emerald,,,,"Gold , 18k Gold , White Gold",White,18k,6,Ring,1stdibs
1950 Signet Men Ring ct natural Onyx solid 18K Gold Ø 9.75 US / 5.51gr,"$1,175",https://www.1stdibs.com/jewelry/rings/signet-rings/1950-signet-men-ring-ct-natural-onyx-solid-18k-gold-975-us-551gr/id-j_27276852/,Onyx,Square,,G,,18k Gold,,18k,9.75,Ring,1stdibs
"Antique 18ct Gold, Edwardian Peridot & Diamond Oval Halo Cluster Ring","$1,750",https://www.1stdibs.com/jewelry/rings/cluster-rings/antique-18ct-gold-edwardian-peridot-diamond-oval-halo-cluster-ring/id-j_27205302/,"Diamond , Peridot",Oval,,,18,"Gold , 18k Gold",,18k,6.75,Ring,1stdibs
"Vintage Platinum, 2 Carat Art Deco Style Diamond Engagement Ring","$13,708",https://www.1stdibs.com/jewelry/rings/engagement-rings/vintage-platinum-2-carat-art-deco-style-diamond-engagement-ring/id-j_27203502/,Diamond,Old European,,,1.58,Platinum,,,5,Ring,1stdibs
"Vintage 14ct Yellow Gold, 1930s Ruby & Diamond Double Headed Snake Ring","$2,411",https://www.1stdibs.com/jewelry/rings/band-rings/vintage-14ct-yellow-gold-1930s-ruby-diamond-double-headed-snake-ring/id-j_27195852/,"Diamond , Ruby",Round,,G,14,"14k Gold , Yellow Gold",Yellow,14k,8.75,Ring,1stdibs
1943 Ring 2ctw Emerald 0.4ctw Diamonds solid 18K Gold Silver ØUS6.75 / 5.75 gr,"$2,300",https://www.1stdibs.com/jewelry/rings/cluster-rings/1943-ring-2ctw-emerald-04ctw-diamonds-solid-18k-gold-silver-us675-575-gr/id-j_27291462/,"Diamond , Emerald",Emerald,,G,2,"18k Gold , Silver",,18k,6.75,Ring,1stdibs
"18ct Gold French Hallmarked, 1980s 2 Carat Sapphire & 2.5 Carat Diamond Ring","$8,197",https://www.1stdibs.com/jewelry/rings/cluster-rings/18ct-gold-french-hallmarked-1980s-2-carat-sapphire-25-carat-diamond-ring/id-j_27195692/,"Diamond , Sapphire",Brilliant,,,2.5,"Gold , 18k Gold",,18k,7.25,Ring,1stdibs
"Vintage 1940s Platinum, 2.70 Carat Full Diamond Eternity Band Ring","$6,199",https://www.1stdibs.com/jewelry/rings/band-rings/vintage-1940s-platinum-270-carat-full-diamond-eternity-band-ring/id-j_27189002/,Diamond,Brilliant,,,2.7,Platinum,,,8,Ring,1stdibs
7.94 carats natural Green Tourmaline in a 18k Yellow gold ring setting,"$14,250",https://www.1stdibs.com/jewelry/rings/cocktail-rings/794-carats-natural-green-tourmaline-18k-yellow-gold-ring-setting/id-j_26853892/,Tourmaline,Emerald,,,7.94,"18k Gold , Yellow Gold",Yellow,18k,5.5,Ring,1stdibs
Antique Certified 4.97ct Fancy Light Yellow Old Cushion Cut Diamond Ring,"$65,838",https://www.1stdibs.com/jewelry/rings/engagement-rings/antique-certified-497ct-fancy-light-yellow-old-cushion-cut-diamond-ring/id-j_26044512/,Diamond,Antique Cushion,,,4.97,Platinum,Yellow,18k,6.5,Ring,1stdibs
"14k Solid White Gold Snake Single Coil Diamond Ring for Women, Animal Jewelry","$1,368 Sale Price / item",https://www.1stdibs.com/jewelry/rings/cocktail-rings/14k-solid-white-gold-snake-single-coil-diamond-ring-women-animal-jewelry/id-j_21239872/,Diamond,Round,,G,,"Gold , 14k Gold , White Gold",White,14k,,Ring,1stdibs
Antique 18ct Yellow Gold Victorian Diamond 5 Stone Carved Half Hoop Ring,"$1,171",https://www.1stdibs.com/jewelry/rings/band-rings/antique-18ct-yellow-gold-victorian-diamond-5-stone-carved-half-hoop-ring/id-j_27167832/,Diamond,Old European,,G,18,"18k Gold , Yellow Gold",Yellow,18k,7.25,Earring,1stdibs
"Edwardian 18ct Gold and Platinum, Sapphire & Diamond Ring","$1,095",https://www.1stdibs.com/jewelry/rings/engagement-rings/edwardian-18ct-gold-platinum-sapphire-diamond-ring/id-j_27168082/,"Diamond , Sapphire",Brilliant,,,18,Platinum,,18k,5.75,Ring,1stdibs
18K White Gold 12mm White South Sea Pearl & 0.52ct Diamond Ring,"$2,200 Sale Price",https://www.1stdibs.com/jewelry/rings/cocktail-rings/18k-white-gold-12mm-white-south-sea-pearl-052ct-diamond-ring/id-j_27167892/,"Diamond , South Sea Pearl",Bead,,G,0.52,"18k Gold , White Gold",White,18k,8,Ring,1stdibs
Antique 15ct Gold Victorian Garnet & Seed Pearl Ring With Engraved Shoulders,"$1,239",https://www.1stdibs.com/jewelry/rings/cluster-rings/antique-15ct-gold-victorian-garnet-seed-pearl-ring-engraved-shoulders/id-j_27157912/,"Garnet , Pearl",Round,,G,15,"Gold , 15k Gold",,15k,6.25,Ring,1stdibs
Michael Kneebone Amethyst Zircon Aquamarine Peridot Cluster Cocktail Ring,"$5,600",https://www.1stdibs.com/jewelry/rings/cluster-rings/michael-kneebone-amethyst-zircon-aquamarine-peridot-cluster-cocktail-ring/id-j_27207172/,"Amethyst , Aquamarine , Peridot , Zircon",Mixed,,,,14k Gold,,14k,7,Ring,1stdibs
Antique 18ct White Gold and Platinum Original Art Deco Sapphire and Diamond Ring,"$2,273",https://www.1stdibs.com/jewelry/rings/engagement-rings/antique-18ct-white-gold-platinum-original-art-deco-sapphire-diamond-ring/id-j_27141732/,"Diamond , Sapphire",Brilliant,,,0.25,Platinum,White,18k,6,Ring,1stdibs
TIFFANY Soleste Platinum Cushion-cut .20ct Diamond Double Halo Engagement Ring 6,"$2,800",https://www.1stdibs.com/jewelry/rings/engagement-rings/tiffany-soleste-platinum-cushion-cut-20ct-diamond-double-halo-engagement-ring-6/id-j_27188342/,Diamond,Cushion,,,20,Platinum,,,6,Ring,1stdibs
"Antique Edwardian 15ct Gold Ruby & Diamond Ring, Stamped 15ct, Circa 1910","$1,308",https://www.1stdibs.com/jewelry/rings/engagement-rings/antique-edwardian-15ct-gold-ruby-diamond-ring-stamped-15ct-circa-1910/id-j_27150812/,"Diamond , Ruby",Mixed,,,15,"Gold , 15k Gold",,15k,7.25,Ring,1stdibs
TIFFANY & Co. Platinum Diamond Sapphire Three Stone Engagement Ring 8.5,"$5,500",https://www.1stdibs.com/jewelry/rings/engagement-rings/tiffany-co-platinum-diamond-sapphire-three-stone-engagement-ring-85/id-j_27357452/,"Diamond , Sapphire",Round,,,,Platinum,,,8.5,Ring,1stdibs
5.37 Carat Emerald-Cut Brazilian Aquamarine and Diamond Platinum Engagement Ring,"$27,800",https://www.1stdibs.com/jewelry/rings/engagement-rings/537-carat-emerald-cut-brazilian-aquamarine-diamond-platinum-engagement-ring/id-j_26847302/,"Aquamarine , Diamond",Emerald,,,5.37,Platinum,,,6,Ring,1stdibs
"Jean Mahie ""Charming Monster"" ring","$4,950",https://www.1stdibs.com/jewelry/rings/band-rings/jean-mahie-charming-monster-ring/id-j_25840422/,,,,,,22k Gold,,22k,5.5,Ring,1stdibs
Nina Zhou Margeret 5.60ctw Aquamarine Pink Sapphire Cocktail Ring,"$1,410 Sale Price",https://www.1stdibs.com/jewelry/rings/cocktail-rings/nina-zhou-margeret-560ctw-aquamarine-pink-sapphire-cocktail-ring/id-j_26338752/,"Aquamarine , Pink Sapphire",Brilliant,,,5.6,"14k Gold , Yellow Gold",Yellow,14k,7,Ring,1stdibs
TIFFANY & Co. Etoile Platinum Diamond 4mm Band Ring 6,"$2,300",https://www.1stdibs.com/jewelry/rings/wedding-rings/tiffany-co-etoile-platinum-diamond-4mm-band-ring-6/id-j_27138882/,Diamond,Round,,,,Platinum,,,6,Ring,1stdibs
Antique Ring natural 3ctw. Emerald 0.6ctw Diamonds solid 18K Gold Ø US 6.75/ 5gr,"$2,550",https://www.1stdibs.com/jewelry/rings/cluster-rings/antique-ring-natural-3ctw-emerald-06ctw-diamonds-solid-18k-gold-us-675-5gr/id-j_27206502/,"Emerald , Diamond",Oval,,G,3,"Yellow Gold , White Gold , 18k Gold",White,18k,6.75,Ring,1stdibs
Leto Lama Bubbles Brazilian Neon Blue Paraiba Tourmaline Round Bezel Band,"$4,064",https://www.1stdibs.com/jewelry/rings/band-rings/leto-lama-bubbles-brazilian-neon-blue-paraiba-tourmaline-round-bezel-band/id-j_27358272/,"Paraiba , Tourmaline",Cabochon,,G,,18k Gold,,18k,5.5,Ring,1stdibs
"9ct Gold, Early Victorian Five Stone Almandine Garnet Ring, Hallmarked 1857","$1,102",https://www.1stdibs.com/jewelry/rings/engagement-rings/9ct-gold-early-victorian-five-stone-almandine-garnet-ring-hallmarked-1857/id-j_27102902/,Garnet,Oval,,,9,"Gold , 9k Gold",,9k,8.5,Ring,1stdibs
"Vintage 18ct White Gold, Rectangular Shaped 3 Carat Princess Cut Diamond Ring","$8,197",https://www.1stdibs.com/jewelry/rings/engagement-rings/vintage-18ct-white-gold-rectangular-shaped-3-carat-princess-cut-diamond-ring/id-j_27103682/,Diamond,Princess,,,3,"18k Gold , White Gold",White,18k,6.5,Ring,1stdibs
"Vintage 18ct Gold, Sapphire & Diamond Oval Cluster Ring, Hallmarked London 1977","$1,584",https://www.1stdibs.com/jewelry/rings/cluster-rings/vintage-18ct-gold-sapphire-diamond-oval-cluster-ring-hallmarked-london-1977/id-j_27089682/,"Diamond , Sapphire",Oval,,,18,"Gold , 18k Gold",,18k,5.5,Ring,1stdibs
"Antique 18ct Gold & Platinum, 1920s 3 Stone Emerald and Diamond Trilogy Ring","$2,686",https://www.1stdibs.com/jewelry/rings/three-stone-rings/antique-18ct-gold-platinum-1920s-3-stone-emerald-diamond-trilogy-ring/id-j_27096282/,"Diamond , Emerald",Square,,,18,Platinum,,18k,7,Ring,1stdibs
"Antique Edwardian Old European Cut Diamond, Garnet 18K Yellow Gold Cluster Ring","$4,450",https://www.1stdibs.com/jewelry/rings/cluster-rings/antique-edwardian-old-european-cut-diamond-garnet-18k-yellow-gold-cluster-ring/id-j_27043682/,"Diamond , Garnet",Old European,,G,,"18k Gold , Yellow Gold",Yellow,18k,5.75,Ring,1stdibs
"11.51 Carat Emerald-Cut Mint Tourmaline and Diamond Platinum Ring, GIA Certified","$22,880 Sale Price",https://www.1stdibs.com/jewelry/rings/three-stone-rings/1151-carat-emerald-cut-mint-tourmaline-diamond-platinum-ring-gia-certified/id-j_26845972/,"Diamond , Tourmaline",Emerald,,,11.51,Platinum,,,6.5,Ring,1stdibs
"Vintage 9ct White Gold, Sheffield Hallmarked Lion Intaligo Ring","$1,343",https://www.1stdibs.com/jewelry/rings/signet-rings/vintage-9ct-white-gold-sheffield-hallmarked-lion-intaligo-ring/id-j_27083452/,,,,G,9,"9k Gold , White Gold",White,9k,6.5,Ring,1stdibs
Vintage Edwardian Era Cabochon Cut Colombian Emerald Ring GIA,"$5,400",https://www.1stdibs.com/jewelry/rings/engagement-rings/vintage-edwardian-era-cabochon-cut-colombian-emerald-ring-gia/id-j_25867642/,"Diamond , Emerald",Cabochon,,G,,"Gold , 14k Gold , White Gold , Yellow Gold",White,14k,6.5,Ring,1stdibs
TIFFANY & Co. Etoile Platinum Diamond 4mm Band Ring 4.5,"$1,600",https://www.1stdibs.com/jewelry/rings/wedding-rings/tiffany-co-etoile-platinum-diamond-4mm-band-ring-45/id-j_27131742/,Diamond,Round,,,,Platinum,,,4.5,Ring,1stdibs
Lightning Ridge Natural Black Opal,"$29,500",https://www.1stdibs.com/jewelry/rings/cocktail-rings/lightning-ridge-natural-black-opal/id-j_16026272/,"Opal , Black Opal",Oval,,,4.75,,,,,Ring,1stdibs
18K Gold 1.20ct Oval Emerald & 0.12ct Brilliant Diamond Engagement Ring,"$1,125 Sale Price",https://www.1stdibs.com/jewelry/rings/engagement-rings/18k-gold-120ct-oval-emerald-012ct-brilliant-diamond-engagement-ring/id-j_27060082/,"Diamond , Emerald",Oval,,G,1.20,18k Gold,,18k,7.75,Ring,1stdibs
IGI 18K 2.07 ct Natural Color Play Sphene Diamonds Antique Engagement Ring,"$3,000",https://www.1stdibs.com/jewelry/rings/engagement-rings/igi-18k-207-ct-natural-color-play-sphene-diamonds-antique-engagement-ring/id-j_27362642/,Diamond,Round,,,2.07,"White Gold , 18k Gold , Gold",White,18k,6.5,Ring,1stdibs
18K 7.00 ct Natural Red Tourmaline Diamonds Antique Engagement Ring,"$4,600",https://www.1stdibs.com/jewelry/rings/engagement-rings/18k-700-ct-natural-red-tourmaline-diamonds-antique-engagement-ring/id-j_27362652/,"Emerald , Tourmaline , Diamond",Cushion,,,7,"Gold , 18k Gold , White Gold",White,18k,6.5,Ring,1stdibs
"Antique Platinum, Edwardian era Cabochon Moonstone and Rose Cut Diamond Ring","$3,226",https://www.1stdibs.com/jewelry/rings/engagement-rings/antique-platinum-edwardian-era-cabochon-moonstone-rose-cut-diamond-ring/id-j_27026902/,"Diamond , Moonstone",Cabochon,,,,Platinum,,,6.5,Ring,1stdibs
"Vintage 1930s Platinum, Full Diamond Eternity Ring","$1,515",https://www.1stdibs.com/jewelry/rings/band-rings/vintage-1930s-platinum-full-diamond-eternity-ring/id-j_27039882/,Diamond,Old European,,G,,Platinum,,,7.5,Ring,1stdibs
IGI 18K 2.56 ct Natural Color Play Sphene Diamonds Antique Engagement Ring,"$4,500",https://www.1stdibs.com/jewelry/rings/engagement-rings/igi-18k-256-ct-natural-color-play-sphene-diamonds-antique-engagement-ring/id-j_27362582/,Diamond,Asscher,,,2.56,"White Gold , 18k Gold , Gold",White,18k,6.5,Ring,1stdibs
"Antique 18ct Gold & Platinum, 1920s Art Deco Signet Ring","$1,274",https://www.1stdibs.com/jewelry/rings/signet-rings/antique-18ct-gold-platinum-1920s-art-deco-signet-ring/id-j_27003092/,,,,G,18,Platinum,,18k,6.75,Ring,1stdibs
Art Deco 12mm Sleeping Beauty Turquoise Diamond Ring in 14K White Gold,"$1,450",https://www.1stdibs.com/jewelry/rings/cocktail-rings/art-deco-12mm-sleeping-beauty-turquoise-diamond-ring-14k-white-gold/id-j_27349962/,"Diamond , Turquoise",Cabochon,,,,"14k Gold , White Gold",White,14k,6.5,Ring,1stdibs
18K White Gold Triangle Diamond Ring with GIA-Certified No-Heat Star Sapphire,"$4,130",https://www.1stdibs.com/jewelry/rings/cocktail-rings/18k-white-gold-triangle-diamond-ring-gia-certified-no-heat-star-sapphire/id-j_26495142/,"Diamond , Star Sapphire",Cabochon,,G,,"Gold , 18k Gold , White Gold",White,18k,5,Ring,1stdibs
Exquisite Emerald Diamond Three Stone Engagement Ring Studded in 18k Solid Gold,"$3,288 Sale Price / item",https://www.1stdibs.com/jewelry/rings/engagement-rings/exquisite-emerald-diamond-three-stone-engagement-ring-studded-18k-solid-gold/id-j_25281282/,"Diamond , Emerald",Octagon,,G,,"Gold , White Gold , Yellow Gold",White,18k,,Earring,1stdibs
18k Yellow Gold Purple Pink Sapphire Gypsy Ring,"$15,200",https://www.1stdibs.com/jewelry/rings/three-stone-rings/18k-yellow-gold-purple-pink-sapphire-gypsy-ring/id-j_26700982/,"Pink Sapphire , Purple Sapphire",Emerald,,G,,"18k Gold , Yellow Gold",Yellow,18k,6,Ring,1stdibs
"Bochic “Orient” Vintage Natural Ruby, Peridot, Citrine, Topaz & Amethyst Ring Se","$1,016 Sale Price",https://www.1stdibs.com/jewelry/rings/cocktail-rings/bochic-orient-vintage-natural-ruby-peridot-citrine-topaz-amethyst-ring-se/id-j_27388252/,"Amethyst , Citrine , Peridot , Ruby , Topaz",Brilliant,,,,"18k Gold , Silver",,18k,6.5,Ring,1stdibs
"Set in 18K Gold, natural Zambian Emerald, Mother of Pearl & Diamonds Bridal Ring","$4,500",https://www.1stdibs.com/jewelry/rings/cocktail-rings/set-18k-gold-natural-zambian-emerald-mother-pearl-diamonds-bridal-ring/id-j_27298122/,"Diamond , Emerald , Pearl",Square,,G,,18k Gold,,18k,5.5,Ring,1stdibs
Ring with citrine and old mine cut diamond up to 0.50ct 18k gold and platinum,"$1,323",https://www.1stdibs.com/jewelry/rings/cocktail-rings/ring-citrine-old-mine-cut-diamond-up-to-050ct-18k-gold-platinum/id-j_27277882/,"Citrine , Diamond",Old Mine,,G,0.50,Platinum,,18k,7,Ring,1stdibs
Vintage T&C 1.74 Carat 14K White Gold Aquamarine & Diamond Filigree Ring,"$1,376 Sale Price",https://www.1stdibs.com/jewelry/rings/cocktail-rings/vintage-tc-174-carat-14k-white-gold-aquamarine-diamond-filigree-ring/id-j_27004132/,"Aquamarine , Diamond",Oval,,G,1.74,"18k Gold , White Gold",White,18k,7,Ring,1stdibs
Antique Edwardian era Platinum 5 Stone Diamond Engagement Ring,"$3,638",https://www.1stdibs.com/jewelry/rings/engagement-rings/antique-edwardian-era-platinum-5-stone-diamond-engagement-ring/id-j_26989952/,Diamond,Brilliant,,,1,Platinum,,,7.5,Ring,1stdibs
"Antique 18ct White Gold & Platinum, Art Deco Sapphire and Diamond Cluster Ring","$2,686",https://www.1stdibs.com/jewelry/rings/cluster-rings/antique-18ct-white-gold-platinum-art-deco-sapphire-diamond-cluster-ring/id-j_26973552/,"Diamond , Sapphire",Emerald,,,18,Platinum,White,18k,6,Ring,1stdibs
14k Yellow Gold & Rainbow Sapphire Dotty Half Eternity Ring,"$2,218 / item",https://www.1stdibs.com/jewelry/rings/band-rings/14k-yellow-gold-rainbow-sapphire-dotty-half-eternity-ring/id-j_27052052/,"Sapphire , Blue Sapphire , Pink Sapphire , Green Sapphire , Purple Sapphire",Round,,,,"18k Gold , Yellow Gold",Yellow,18k,6.75,Ring,1stdibs
"14ct Yellow Gold, 1980s Large 19.64 Carat Aquamarine & Baguette Cut Diamond Ring","$6,199",https://www.1stdibs.com/jewelry/rings/cocktail-rings/14ct-yellow-gold-1980s-large-1964-carat-aquamarine-baguette-cut-diamond-ring/id-j_26951962/,"Aquamarine , Diamond",Emerald,,,19.64,"14k Gold , Yellow Gold",Yellow,14k,9,Ring,1stdibs
Vintage 18k Blue Sapphire Ring Band Natural and Solid yellow gold,"$3,600",https://www.1stdibs.com/jewelry/rings/band-rings/vintage-18k-blue-sapphire-ring-band-natural-solid-yellow-gold/id-j_27232862/,"Diamond , Blue Sapphire",Oval,,G,,"18k Gold , Yellow Gold",Yellow,18k,7,Ring,1stdibs
Oval Teal Blue Sapphire and Diamond Platinum Engagement Ring – GIA Certified,"$24,375 Sale Price",https://www.1stdibs.com/jewelry/rings/engagement-rings/oval-teal-blue-sapphire-diamond-platinum-engagement-ring-gia-certified/id-j_26847442/,"Diamond , Blue Sapphire",Oval,,,,Platinum,,,6,Ring,1stdibs
